difficulty,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,cluster
2.5,136.50248547764068,5546,79620,0.0696558653604622,20376.096440780915,54,396780,3352,2
3.5,143.63210783042996,10322,190080,0.0543034511784511,9301.571744907797,64,948900,7468,0
3.0,106.56123614278074,2576,32760,0.0786324786324786,24269.289657383662,64,162300,1483,2
3.5,184.3274147018764,6820,98040,0.069563443492452,19473.45854188536,69,488760,3832,0
3.0,188.8059454125805,10922,193080,0.0565672260203024,18763.828824446296,69,924120,7407,0
3.5,47.27189968789912,13486,55260,0.2440463264567499,61681.24415884839,71,275700,8372,2
2.5,198.58283354781813,8672,169800,0.0510718492343934,46673.38565437677,62,848280,6196,0
3.5,226.24802089878403,7790,126720,0.0614741161616161,47527.05232311927,70,627360,4976,0
4.0,169.600082968873,15052,173760,0.0866252302025782,13828.012561583912,69,857760,8288,0
3.5,70.6408751878558,10236,75420,0.135719968178202,76856.61276714817,67,375780,7434,2
3.0,169.70930892083544,12916,170910,0.0755719384471359,26794.72903928891,59,850710,9222,0
3.5,126.39388339730658,11970,111360,0.107489224137931,49192.23801680045,65,551520,6798,0
3.5,86.98409004614479,15568,171360,0.0908496732026143,145931.54748456588,71,513365,10101,0
3.5,37.271948684637,6678,36480,0.1830592105263158,275534.82298316783,65,109255,4170,2
2.5,140.21515105265254,5458,77392,0.0705240851767624,102795.1227676824,53,231892,3775,2
3.5,153.23700299236543,12930,197760,0.065382281553398,94080.48845309897,64,592770,7187,0
3.5,110.39438001410372,13238,133920,0.0988500597371565,129828.94777150558,70,401170,7915,2
3.5,31.000112719176776,5574,27960,0.1993562231759656,584557.0395318114,61,83610,3507,2
2.5,186.7744679215852,1739,138420,0.0125632134084669,84796.51291311988,55,415130,584,2
4.0,248.11524401937208,7356,519840,0.0141505078485687,43822.74372959794,72,1555460,2564,5
4.0,115.00767154418968,8078,464640,0.0173855027548209,153950.71279822502,68,1392740,2948,5
3.5,45.14538707363656,2218,72720,0.0305005500550055,461689.82536589366,70,217800,564,2
3.0,176.28072581566062,2924,214020,0.01366227455378,167263.9523875889,63,640920,1043,0
3.5,129.60558881440022,6875,382080,0.0179936139028475,121609.70356893874,70,1144560,1538,0
3.5,87.98346664360089,21468,926907,0.0231608996371804,78717.295715625,70,2773947,12663,4
3.0,49.64170264450499,4582,200160,0.0228916866506794,106415.63261727346,59,596913,2308,0
2.5,123.64910160726438,6296,226080,0.0278485491861288,40499.57261476349,57,677640,3862,0
3.5,134.1237302684572,11158,517440,0.0215638528138528,27700.775943844,70,1551440,6244,5
3.0,94.06171053782936,14576,425984,0.0342172475961538,85274.00794190746,72,5536688,4182,1
3.0,74.24231720383894,12854,45866,0.2802511664413727,202546.297177888,65,733486,4682,0
3.0,160.0,396,1680,0.2357142857142857,0.0,29,23527,278,2
2.5,164.91317510521623,30826,441870,0.0697625998596872,5765.0610956336695,71,2208750,21774,5
2.5,102.66844566566616,5298,220320,0.0240468409586056,42105.58244708272,51,659520,3627,0
2.5,73.70125920877513,3306,196584,0.0168172384324258,150333.48029985398,52,589704,2274,0
2.5,91.47435210271496,2116,74880,0.028258547008547,69792.7643836537,38,224640,1377,2
2.5,82.65378810233823,5306,265920,0.0199533694344163,246077.8785116542,50,662880,3507,0
3.0,221.0285961919928,4648,243840,0.0190616797900262,9500.196058174562,52,668160,3368,0
2.5,124.55124506128011,3976,309120,0.0128623188405797,36531.309940051,54,917280,3053,0
3.0,145.48832976973355,7332,1047240,0.0070012604560559,243963.899219478,59,5204040,1978,1
3.5,93.39196152600934,9340,1004640,0.0092968625577321,474586.58141133736,62,5015940,2375,1
4.0,112.00536795112193,11915,1438440,0.0082832791079224,428705.6738824103,63,7121160,3616,3
3.5,160.0921678612548,12248,1593600,0.0076857429718875,115414.11843907836,63,7967040,3386,3
3.0,123.26729607239363,7229,1112160,0.0064999640339519,308515.1203007828,63,5543640,2122,1
3.0,142.68906304799907,7171,685800,0.0104564012831729,106488.1000931531,59,3345720,2302,4
3.5,98.77538393970796,9201,1091274,0.0084314296867697,385650.09278328967,66,5217054,2561,1
