file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes
Bach - 006707b_.csv,681818.0,88.00002346667293,190,57345,0.003313279274566222,0.0,22,286725,60
Bach - 006906ba.csv,625000.0,96.0,305,61441,0.004964111912241012,0.0,24,368646,77
Bach - 006906bav.csv,625000.0,96.0,245,61441,0.003987565306554255,0.0,23,307205,68
Bach - 006906b_.csv,625000.0,96.0,619,98304,0.006296793619791667,0.0,33,884736,216
Bach - 007007b_.csv,405405.0,148.000148000148,276,104450,0.0026424126376256582,0.0,25,522250,94
Bach - 007011b_.csv,681818.0,88.00002346667293,388,53248,0.007286658653846154,0.0,36,425984,132
Bach - 007011ch.csv,681818.0,88.00002346667293,221,53248,0.004150390625,0.0,27,266240,53
Bach - 007206b_.csv,625000.0,96.0,409,81920,0.00499267578125,0.0,31,491520,115
Bach - 007305bv.csv,576923.0,104.00001386666851,233,69632,0.0033461626838235292,0.0,28,348160,72
Bach - 007305b_.csv,576923.0,104.00001386666851,233,69632,0.0033461626838235292,0.0,28,348160,72
Bach - 007408b_.csv,625000.0,96.0,257,57345,0.0044816461766501005,0.0,26,286725,72
Bach - 007507b_.csv,789473.0,76.00006586672374,1256,131073,0.009582446422985665,0.0,35,1179657,341
Bach - 007514b_.csv,789473.0,76.00006586672374,1256,131073,0.009582446422985665,0.0,35,1179657,341
Bach - 007607b_.csv,833333.0,72.00002880001152,1393,139265,0.010002513194269917,0.0,44,1253385,384
Bach - 007614b_.csv,833333.0,72.00002880001152,1393,139265,0.010002513194269917,0.0,44,1253385,384
Bach - 007706b_.csv,625000.0,96.0,255,73729,0.0034586119437399125,0.0,25,368645,75
Bach - 007807b_.csv,625000.0,96.0,283,65537,0.004318171414620748,0.0,25,327685,78
Bach - 007903bs.csv,300000.0,200.0,215,122881,0.0017496602403951791,0.0,23,614405,59
Bach - 007903b_.csv,600000.0,100.0,1230,253953,0.004843415907667954,0.0,34,2285577,402
Bach - 007906b_.csv,468750.0,128.0,231,52225,0.004423168980373385,0.0,24,417800,85
Bach - 008008b_.csv,625000.0,96.0,338,69633,0.004854020363907917,0.0,25,348165,102
