tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
3199,note_off,,,,,3,0,1,,,0,65,64,,
3203,note_off,,,,,0,0,1,,,0,62,64,,
3203,note_off,,,,,4,0,1,,,0,58,64,,
3204,note_off,,,,,1,0,1,,,0,55,64,,
3289,note_on,,,,,85,0,1,,,0,71,52,,
3289,note_on,,,,,0,0,1,,,0,59,45,,
3293,note_on,,,,,4,0,1,,,0,65,33,,
3293,note_on,,,,,0,0,1,,,0,62,25,,
3296,note_on,,,,,3,0,1,,,0,56,37,,
3331,note_off,,,,,35,0,1,,,0,71,64,,
3332,note_off,,,,,1,0,1,,,0,56,64,,
3334,note_off,,,,,2,0,1,,,0,65,64,,
3334,note_off,,,,,0,0,1,,,0,59,64,,
3337,note_off,,,,,3,0,1,,,0,62,64,,
3554,control_change,,,,,217,0,1,,,0,,,64,127
3638,control_change,,,,,84,0,1,,,0,,,64,0
3667,note_on,,,,,29,0,1,,,0,67,30,,
3670,note_on,,,,,3,0,1,,,0,62,18,,
3674,note_on,,,,,4,0,1,,,0,52,27,,
3675,note_on,,,,,1,0,1,,,0,59,16,,
3677,note_on,,,,,2,0,1,,,0,55,21,,
3724,note_off,,,,,47,0,1,,,0,59,64,,
3733,note_off,,,,,9,0,1,,,0,52,64,,
3733,note_off,,,,,0,0,1,,,0,62,64,,
3740,note_off,,,,,7,0,1,,,0,55,64,,
3759,note_off,,,,,19,0,1,,,0,67,64,,
3761,control_change,,,,,2,0,1,,,0,,,64,127
3777,control_change,,,,,16,0,1,,,0,,,64,0
4007,control_change,,,,,230,0,1,,,0,,,64,127
4163,note_on,,,,,156,0,1,,,0,68,15,,
4169,note_on,,,,,6,0,1,,,0,62,4,,
4172,note_on,,,,,3,0,1,,,0,59,5,,
4172,note_on,,,,,0,0,1,,,0,56,9,,
4176,note_on,,,,,4,0,1,,,0,53,28,,
4221,note_off,,,,,45,0,1,,,0,53,64,,
4230,note_off,,,,,9,0,1,,,0,62,64,,
4261,note_off,,,,,31,0,1,,,0,59,64,,
4281,note_off,,,,,20,0,1,,,0,56,64,,
