tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,channel,program,note,velocity,control,value
238236,note_off,81,0,3,,,,,,,,,,,,0,,81,64,,
238241,note_on,5,0,3,,,,,,,,,,,,0,,82,47,,
238399,note_on,158,0,3,,,,,,,,,,,,0,,84,51,,
238408,note_off,9,0,3,,,,,,,,,,,,0,,82,64,,
238557,note_off,149,0,3,,,,,,,,,,,,0,,84,64,,
238560,note_on,3,0,3,,,,,,,,,,,,0,,82,55,,
238560,set_tempo,480,1,0,,,,,,,,,,,245000,,,,,,
238719,note_on,159,0,3,,,,,,,,,,,,0,,81,55,,
238729,note_off,10,0,3,,,,,,,,,,,,0,,82,64,,
238875,note_on,146,0,3,,,,,,,,,,,,0,,93,50,,
238881,note_off,6,0,3,,,,,,,,,,,,0,,81,64,,
238999,control_change,118,0,3,,,,,,,,,,,,0,,,,64,127
239026,note_off,27,0,3,,,,,,,,,,,,0,,93,64,,
239038,note_on,12,0,3,,,,,,,,,,,,0,,82,41,,
239040,set_tempo,480,1,0,,,,,,,,,,,242500,,,,,,
239045,note_on,0,0,3,,,,,,,,,,,,0,,70,32,,
239045,note_on,7,0,3,,,,,,,,,,,,0,,66,35,,
239057,note_on,12,0,3,,,,,,,,,,,,0,,60,40,,
239128,note_off,71,0,3,,,,,,,,,,,,0,,70,64,,
239131,note_off,3,0,3,,,,,,,,,,,,0,,66,64,,
239155,note_off,24,0,3,,,,,,,,,,,,0,,60,64,,
239202,note_on,47,0,3,,,,,,,,,,,,0,,84,60,,
239207,note_off,5,0,3,,,,,,,,,,,,0,,82,64,,
239360,note_on,0,0,3,,,,,,,,,,,,0,,86,55,,
239360,note_off,153,0,3,,,,,,,,,,,,0,,84,64,,
239511,note_off,151,0,3,,,,,,,,,,,,0,,86,64,,
239515,note_on,4,0,3,,,,,,,,,,,,0,,84,60,,
239520,set_tempo,480,1,0,,,,,,,,,,,230000,,,,,,
239679,note_off,164,0,3,,,,,,,,,,,,0,,84,64,,
239682,note_on,3,0,3,,,,,,,,,,,,0,,82,56,,
239835,note_off,153,0,3,,,,,,,,,,,,0,,82,64,,
239838,note_on,3,0,3,,,,,,,,,,,,0,,94,56,,
239989,note_off,151,0,3,,,,,,,,,,,,0,,94,64,,
240000,set_tempo,480,1,0,,,,,,,,,,,242500,,,,,,
240003,note_on,0,0,3,,,,,,,,,,,,0,,82,56,,
240003,note_on,14,0,3,,,,,,,,,,,,0,,66,29,,
240004,note_on,1,0,3,,,,,,,,,,,,0,,70,43,,
240014,note_on,10,0,3,,,,,,,,,,,,0,,60,44,,
240091,note_off,77,0,3,,,,,,,,,,,,0,,66,64,,
240102,note_off,11,0,3,,,,,,,,,,,,0,,70,64,,
240113,note_off,11,0,3,,,,,,,,,,,,0,,60,64,,
240153,note_off,40,0,3,,,,,,,,,,,,0,,82,64,,
240157,note_on,4,0,3,,,,,,,,,,,,0,,84,49,,
240312,note_off,155,0,3,,,,,,,,,,,,0,,84,64,,
240320,note_on,8,0,3,,,,,,,,,,,,0,,86,53,,
240478,note_on,158,0,3,,,,,,,,,,,,0,,50,45,,
240480,set_tempo,480,1,0,,,,,,,,,,,250000,,,,,,
240485,note_off,7,0,3,,,,,,,,,,,,0,,86,64,,
240542,note_off,57,0,3,,,,,,,,,,,,0,,50,64,,
240957,note_on,415,0,3,,,,,,,,,,,,0,,60,11,,
240960,set_tempo,480,1,0,,,,,,,,,,,247500,,,,,,
240962,note_on,5,0,3,,,,,,,,,,,,0,,70,42,,
240964,note_on,0,0,3,,,,,,,,,,,,0,,82,38,,
240964,note_on,2,0,3,,,,,,,,,,,,0,,66,31,,
241006,note_off,42,0,3,,,,,,,,,,,,0,,60,64,,
241030,note_off,24,0,3,,,,,,,,,,,,0,,66,64,,
241044,note_off,14,0,3,,,,,,,,,,,,0,,70,64,,
241115,note_off,71,0,3,,,,,,,,,,,,0,,82,64,,
241120,note_on,5,0,3,,,,,,,,,,,,0,,84,55,,
241277,note_off,157,0,3,,,,,,,,,,,,0,,84,64,,
241283,note_on,6,0,3,,,,,,,,,,,,0,,86,53,,
241436,note_on,153,0,3,,,,,,,,,,,,0,,84,55,,
241440,set_tempo,480,1,0,,,,,,,,,,,225000,,,,,,
241442,note_off,6,0,3,,,,,,,,,,,,0,,86,64,,
241595,note_off,153,0,3,,,,,,,,,,,,0,,84,64,,
241603,note_on,8,0,3,,,,,,,,,,,,0,,82,53,,
241682,control_change,79,0,3,,,,,,,,,,,,0,,,,64,0
241756,note_on,74,0,3,,,,,,,,,,,,0,,94,52,,
241761,note_off,5,0,3,,,,,,,,,,,,0,,82,64,,
241908,note_off,147,0,3,,,,,,,,,,,,0,,94,64,,
241917,note_on,9,0,3,,,,,,,,,,,,0,,81,32,,
241917,note_on,0,0,3,,,,,,,,,,,,0,,66,26,,
241919,note_on,2,0,3,,,,,,,,,,,,0,,60,21,,
241919,note_on,0,0,3,,,,,,,,,,,,0,,69,28,,
241920,set_tempo,480,1,0,,,,,,,,,,,230000,,,,,,
242030,note_off,111,0,3,,,,,,,,,,,,0,,60,64,,
242032,note_off,2,0,3,,,,,,,,,,,,0,,69,64,,
242035,note_off,3,0,3,,,,,,,,,,,,0,,66,64,,
242076,note_on,41,0,3,,,,,,,,,,,,0,,82,38,,
242085,note_off,9,0,3,,,,,,,,,,,,0,,81,64,,
242239,note_off,154,0,3,,,,,,,,,,,,0,,82,64,,
242240,note_on,1,0,3,,,,,,,,,,,,0,,84,50,,
242395,note_off,155,0,3,,,,,,,,,,,,0,,84,64,,
242398,note_on,3,0,3,,,,,,,,,,,,0,,82,49,,
242400,set_tempo,480,1,0,,,,,,,,,,,222500,,,,,,
242561,note_on,163,0,3,,,,,,,,,,,,0,,81,50,,
242562,note_off,1,0,3,,,,,,,,,,,,0,,82,64,,
242723,note_on,161,0,3,,,,,,,,,,,,0,,93,24,,
242725,note_off,2,0,3,,,,,,,,,,,,0,,81,64,,
242875,note_on,150,0,3,,,,,,,,,,,,0,,66,10,,
242880,set_tempo,480,1,0,,,,,,,,,,,212500,,,,,,
242882,note_on,0,0,3,,,,,,,,,,,,0,,80,44,,
242882,note_on,0,0,3,,,,,,,,,,,,0,,68,50,,
242882,note_on,7,0,3,,,,,,,,,,,,0,,60,27,,
242889,note_off,7,0,3,,,,,,,,,,,,0,,93,64,,
242973,note_off,84,0,3,,,,,,,,,,,,0,,68,64,,
242997,note_off,24,0,3,,,,,,,,,,,,0,,66,64,,
243012,note_off,15,0,3,,,,,,,,,,,,0,,60,64,,
243036,note_on,24,0,3,,,,,,,,,,,,0,,81,30,,
243040,note_off,4,0,3,,,,,,,,,,,,0,,80,64,,
243191,note_off,151,0,3,,,,,,,,,,,,0,,81,64,,
243195,note_on,4,0,3,,,,,,,,,,,,0,,82,42,,
243347,note_off,152,0,3,,,,,,,,,,,,0,,82,64,,
243355,note_on,8,0,3,,,,,,,,,,,,0,,81,51,,
243359,note_on,4,0,3,,,,,,,,,,,,0,,51,28,,
243360,set_tempo,480,1,0,,,,,,,,,,,232500,,,,,,
243490,note_off,131,0,3,,,,,,,,,,,,0,,51,64,,
243507,note_off,17,0,3,,,,,,,,,,,,0,,81,64,,
243519,note_on,12,0,3,,,,,,,,,,,,0,,80,53,,
243677,note_on,158,0,3,,,,,,,,,,,,0,,92,60,,
243681,note_off,4,0,3,,,,,,,,,,,,0,,80,64,,
243836,note_on,155,0,3,,,,,,,,,,,,0,,81,57,,
243840,note_on,4,0,3,,,,,,,,,,,,0,,66,35,,
243840,set_tempo,480,1,0,,,,,,,,,,,232500,,,,,,
243842,note_off,2,0,3,,,,,,,,,,,,0,,92,64,,
243844,note_on,2,0,3,,,,,,,,,,,,0,,69,36,,
243844,note_on,0,0,3,,,,,,,,,,,,0,,60,27,,
243945,note_off,101,0,3,,,,,,,,,,,,0,,69,64,,
243946,note_off,1,0,3,,,,,,,,,,,,0,,66,64,,
243953,note_off,7,0,3,,,,,,,,,,,,0,,60,64,,
243995,note_on,42,0,3,,,,,,,,,,,,0,,82,47,,
244001,note_off,6,0,3,,,,,,,,,,,,0,,81,64,,
244163,note_off,162,0,3,,,,,,,,,,,,0,,82,64,,
244163,note_on,0,0,3,,,,,,,,,,,,0,,84,53,,
244317,note_off,154,0,3,,,,,,,,,,,,0,,84,64,,
244319,note_on,2,0,3,,,,,,,,,,,,0,,82,43,,
244320,set_tempo,480,1,0,,,,,,,,,,,227500,,,,,,
244469,note_off,150,0,3,,,,,,,,,,,,0,,82,64,,
244481,note_on,12,0,3,,,,,,,,,,,,0,,81,52,,
244640,note_on,159,0,3,,,,,,,,,,,,0,,93,56,,
244646,note_off,6,0,3,,,,,,,,,,,,0,,81,64,,
244795,note_off,149,0,3,,,,,,,,,,,,0,,93,64,,
244799,note_on,4,0,3,,,,,,,,,,,,0,,70,29,,
244800,set_tempo,480,1,0,,,,,,,,,,,227500,,,,,,
244803,note_on,4,0,3,,,,,,,,,,,,0,,66,36,,
244804,note_on,0,0,3,,,,,,,,,,,,0,,82,27,,
244804,note_on,1,0,3,,,,,,,,,,,,0,,60,33,,
244894,note_off,90,0,3,,,,,,,,,,,,0,,66,64,,
244899,note_off,5,0,3,,,,,,,,,,,,0,,60,64,,
244903,note_off,4,0,3,,,,,,,,,,,,0,,70,64,,
244960,note_on,57,0,3,,,,,,,,,,,,0,,84,56,,
244963,note_off,3,0,3,,,,,,,,,,,,0,,82,64,,
245117,note_on,154,0,3,,,,,,,,,,,,0,,85,62,,
245126,note_off,9,0,3,,,,,,,,,,,,0,,84,64,,
245278,note_on,0,0,3,,,,,,,,,,,,0,,84,56,,
245278,note_off,152,0,3,,,,,,,,,,,,0,,85,64,,
245280,set_tempo,480,1,0,,,,,,,,,,,227500,,,,,,
245435,note_off,157,0,3,,,,,,,,,,,,0,,84,64,,
245436,note_on,1,0,3,,,,,,,,,,,,0,,82,50,,
245598,note_off,162,0,3,,,,,,,,,,,,0,,82,64,,
245604,note_on,6,0,3,,,,,,,,,,,,0,,94,57,,
245757,note_on,153,0,3,,,,,,,,,,,,0,,61,30,,
245760,set_tempo,480,1,0,,,,,,,,,,,235000,,,,,,
245762,note_on,5,0,3,,,,,,,,,,,,0,,82,45,,
245763,note_on,1,0,3,,,,,,,,,,,,0,,70,34,,
245764,note_on,1,0,3,,,,,,,,,,,,0,,66,32,,
245766,note_off,2,0,3,,,,,,,,,,,,0,,94,64,,
245860,note_off,94,0,3,,,,,,,,,,,,0,,61,64,,
245862,note_off,2,0,3,,,,,,,,,,,,0,,70,64,,
245863,note_off,1,0,3,,,,,,,,,,,,0,,66,64,,
245912,note_off,49,0,3,,,,,,,,,,,,0,,82,64,,
245918,note_on,6,0,3,,,,,,,,,,,,0,,84,50,,
246075,note_off,157,0,3,,,,,,,,,,,,0,,84,64,,
246084,note_on,9,0,3,,,,,,,,,,,,0,,85,44,,
246240,set_tempo,480,1,0,,,,,,,,,,,235000,,,,,,
246240,note_on,156,0,3,,,,,,,,,,,,0,,51,45,,
246249,note_off,9,0,3,,,,,,,,,,,,0,,85,64,,
246259,control_change,10,0,3,,,,,,,,,,,,0,,,,64,127
246346,note_off,87,0,3,,,,,,,,,,,,0,,51,64,,
246717,note_on,0,0,3,,,,,,,,,,,,0,,61,31,,
246717,note_on,371,0,3,,,,,,,,,,,,0,,71,27,,
246720,set_tempo,480,1,0,,,,,,,,,,,220000,,,,,,
246722,note_on,0,0,3,,,,,,,,,,,,0,,83,47,,
246722,note_on,5,0,3,,,,,,,,,,,,0,,67,47,,
246798,note_off,76,0,3,,,,,,,,,,,,0,,61,64,,
246811,note_off,13,0,3,,,,,,,,,,,,0,,67,64,,
246812,note_off,1,0,3,,,,,,,,,,,,0,,71,64,,
246878,note_on,66,0,3,,,,,,,,,,,,0,,85,47,,
246880,note_off,2,0,3,,,,,,,,,,,,0,,83,64,,
247037,note_on,157,0,3,,,,,,,,,,,,0,,87,50,,
247046,note_off,9,0,3,,,,,,,,,,,,0,,85,64,,
247195,note_on,149,0,3,,,,,,,,,,,,0,,85,53,,
247200,set_tempo,480,1,0,,,,,,,,,,,247500,,,,,,
247205,note_off,10,0,3,,,,,,,,,,,,0,,87,64,,
247347,note_off,142,0,3,,,,,,,,,,,,0,,85,64,,
247363,note_on,16,0,3,,,,,,,,,,,,0,,83,62,,
247522,note_on,159,0,3,,,,,,,,,,,,0,,95,64,,
247525,note_off,3,0,3,,,,,,,,,,,,0,,83,64,,
247624,control_change,99,0,3,,,,,,,,,,,,0,,,,64,0
247678,note_on,54,0,3,,,,,,,,,,,,0,,82,51,,
247678,note_on,0,0,3,,,,,,,,,,,,0,,61,32,,
247679,note_on,1,0,3,,,,,,,,,,,,0,,67,46,,
247680,set_tempo,480,1,0,,,,,,,,,,,227500,,,,,,
247682,note_on,3,0,3,,,,,,,,,,,,0,,70,29,,
247685,note_off,3,0,3,,,,,,,,,,,,0,,95,64,,
247743,note_off,58,0,3,,,,,,,,,,,,0,,61,64,,
247765,note_off,22,0,3,,,,,,,,,,,,0,,67,64,,
247786,note_off,21,0,3,,,,,,,,,,,,0,,70,64,,
247842,note_off,56,0,3,,,,,,,,,,,,0,,82,64,,
247844,note_on,2,0,3,,,,,,,,,,,,0,,83,57,,
