tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
6522,note_on,,,,,2,0,1,,,0,,,69,65
6560,note_off,,,,,38,0,1,,,0,,,69,64
6576,note_off,,,,,16,0,1,,,0,,,78,64
6582,note_off,,,,,6,0,1,,,0,,,63,64
6608,control_change,,,,,26,0,1,,,0,64,0,,
6612,note_off,,,,,4,0,1,,,0,,,72,64
6618,note_on,,,,,6,0,1,,,0,,,68,63
6620,note_on,,,,,2,0,1,,,0,,,77,51
6624,note_on,,,,,4,0,1,,,0,,,71,59
6628,note_on,,,,,4,0,1,,,0,,,62,53
6640,control_change,,,,,12,0,1,,,0,64,127,,
6642,note_off,,,,,2,0,1,,,0,,,62,64
6650,note_off,,,,,8,0,1,,,0,,,71,64
6658,note_off,,,,,8,0,1,,,0,,,68,64
6660,note_off,,,,,2,0,1,,,0,,,77,64
6736,control_change,,,,,76,0,1,,,0,64,0,,
6736,note_on,,,,,0,0,1,,,0,,,82,62
6740,note_on,,,,,4,0,1,,,0,,,76,49
6744,note_on,,,,,4,0,1,,,0,,,73,52
6748,note_on,,,,,4,0,1,,,0,,,67,34
6776,control_change,,,,,28,0,1,,,0,64,127,,
6788,note_off,,,,,12,0,1,,,0,,,76,64
6792,note_off,,,,,4,0,1,,,0,,,82,64
6796,note_off,,,,,4,0,1,,,0,,,73,64
6804,note_off,,,,,8,0,1,,,0,,,67,64
6870,note_on,,,,,66,0,1,,,0,,,73,47
6870,note_on,,,,,0,0,1,,,0,,,67,51
6874,note_on,,,,,4,0,1,,,0,,,82,61
6876,control_change,,,,,2,0,1,,,0,64,0,,
6880,note_on,,,,,4,0,1,,,0,,,76,50
6908,control_change,,,,,28,0,1,,,0,64,127,,
6922,note_off,,,,,14,0,1,,,0,,,73,64
6932,note_off,,,,,10,0,1,,,0,,,67,64
6954,note_off,,,,,22,0,1,,,0,,,76,64
6964,note_off,,,,,10,0,1,,,0,,,82,64
7016,control_change,,,,,52,0,1,,,0,64,0,,
7022,note_on,,,,,6,0,1,,,0,,,66,59
7032,note_on,,,,,10,0,1,,,0,,,81,60
7034,note_on,,,,,2,0,1,,,0,,,72,56
7038,note_on,,,,,4,0,1,,,0,,,75,47
7058,control_change,,,,,20,0,1,,,0,64,127,,
7072,note_off,,,,,14,0,1,,,0,,,75,64
7074,note_off,,,,,2,0,1,,,0,,,66,64
7076,note_off,,,,,2,0,1,,,0,,,72,64
7080,note_off,,,,,4,0,1,,,0,,,81,64
7224,control_change,,,,,0,0,1,,,0,64,0,,
7224,note_on,,,,,144,0,1,,,0,,,71,63
7226,note_on,,,,,2,0,1,,,0,,,80,56
7228,note_on,,,,,2,0,1,,,0,,,86,57
7232,note_on,,,,,4,0,1,,,0,,,77,48
7282,control_change,,,,,50,0,1,,,0,64,127,,
7290,note_off,,,,,8,0,1,,,0,,,77,64
7304,note_off,,,,,14,0,1,,,0,,,71,64
7328,note_off,,,,,24,0,1,,,0,,,80,64
7338,note_off,,,,,10,0,1,,,0,,,86,64
7528,note_on,,,,,190,0,1,,,0,,,80,53
7532,note_on,,,,,4,0,1,,,0,,,86,46
