tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
357014,control_change,,,,,18,0,1,,64,0,0,,
357020,note_on,,,,,6,0,1,,,,0,62,106
357024,note_on,,,,,4,0,1,,,,0,50,106
357044,control_change,,,,,20,0,1,,64,127,0,,
357064,note_off,,,,,20,0,1,,,,0,62,64
357092,note_off,,,,,28,0,1,,,,0,50,64
357184,note_on,,,,,92,0,1,,,,0,79,92
357186,note_on,,,,,2,0,1,,,,0,88,86
357188,note_on,,,,,0,0,1,,,,0,84,84
357188,note_on,,,,,2,0,1,,,,0,91,84
357244,control_change,,,,,56,0,1,,64,0,0,,
357324,note_on,,,,,80,0,1,,,,0,47,75
357326,note_on,,,,,2,0,1,,,,0,35,75
357336,control_change,,,,,10,0,1,,64,127,0,,
357372,note_off,,,,,36,0,1,,,,0,47,64
357374,note_off,,,,,2,0,1,,,,0,35,64
357464,note_on,,,,,90,0,1,,,,0,48,78
357464,note_on,,,,,0,0,1,,,,0,36,78
357480,control_change,,,,,16,0,1,,64,0,0,,
357508,control_change,,,,,28,0,1,,64,127,0,,
357512,note_off,,,,,4,0,1,,,,0,48,64
357514,note_off,,,,,2,0,1,,,,0,36,64
357610,note_on,,,,,96,0,1,,,,0,52,81
357612,note_on,,,,,2,0,1,,,,0,40,81
357622,control_change,,,,,10,0,1,,64,0,0,,
357660,control_change,,,,,38,0,1,,64,127,0,,
357688,note_off,,,,,28,0,1,,,,0,40,64
357690,note_off,,,,,2,0,1,,,,0,52,64
357744,note_off,,,,,54,0,1,,,,0,91,64
357752,note_on,,,,,8,0,1,,,,0,41,83
357756,note_on,,,,,4,0,1,,,,0,53,83
357762,note_off,,,,,6,0,1,,,,0,88,64
357764,note_off,,,,,2,0,1,,,,0,84,64
357768,control_change,,,,,4,0,1,,64,0,0,,
357774,note_off,,,,,6,0,1,,,,0,79,64
357794,note_off,,,,,20,0,1,,,,0,53,64
357800,control_change,,,,,6,0,1,,64,127,0,,
357802,note_off,,,,,2,0,1,,,,0,41,64
357896,note_on,,,,,94,0,1,,,,0,54,83
357898,note_on,,,,,2,0,1,,,,0,42,83
357944,note_off,,,,,46,0,1,,,,0,42,64
357946,note_off,,,,,2,0,1,,,,0,54,64
357956,note_on,,,,,0,0,1,,,,0,72,83
357956,note_on,,,,,10,0,1,,,,0,76,83
357956,note_on,,,,,0,0,1,,,,0,67,83
357962,note_on,,,,,6,0,1,,,,0,79,83
357974,note_off,,,,,12,0,1,,,,0,79,64
357980,note_off,,,,,6,0,1,,,,0,67,64
357990,note_off,,,,,10,0,1,,,,0,72,64
