tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
271307,note_on,,,,,0,0,1,,,,,0,,,61,0
271319,note_on,,,,,0,0,0,,,,,0,,,85,0
271319,note_on,,,,,239,0,0,,,,,0,,,73,0
271320,note_on,,,,,0,0,0,,,,,0,,,82,112
271320,note_on,,,,,1,0,0,,,,,0,,,70,112
271559,note_on,,,,,0,0,0,,,,,0,,,82,0
271559,note_on,,,,,239,0,0,,,,,0,,,70,0
271560,note_on,,,,,0,0,0,,,,,0,,,78,112
271560,note_on,,,,,1,0,0,,,,,0,,,66,112
271787,note_on,,,,,227,0,0,,,,,0,,,66,0
271787,note_on,,,,,0,0,0,,,,,0,,,78,0
271800,note_on,,,,,0,0,1,,,,,0,,,37,112
271800,note_on,,,,,493,0,1,,,,,0,,,25,112
271801,control_change,,,,,1,0,1,,,64,0,0,,,,
271802,control_change,,,,,1,0,1,,,64,127,0,,,,
272027,note_on,,,,,0,0,1,,,,,0,,,37,0
272027,note_on,,,,,225,0,1,,,,,0,,,25,0
272040,note_on,,,,,253,0,0,,,,,0,,,63,112
272040,note_on,,,,,0,0,0,,,,,0,,,75,112
272280,note_on,,,,,0,0,1,,,,,0,,,65,112
272280,note_on,,,,,253,0,1,,,,,0,,,49,112
272280,note_on,,,,,0,0,1,,,,,0,,,56,112
272280,note_on,,,,,0,0,1,,,,,0,,,59,112
272358,note_on,,,,,0,0,1,,,,,0,,,65,0
272358,note_on,,,,,78,0,1,,,,,0,,,49,0
272358,note_on,,,,,0,0,1,,,,,0,,,59,0
272358,note_on,,,,,0,0,1,,,,,0,,,56,0
272495,note_on,,,,,0,0,0,,,,,0,,,75,0
272495,note_on,,,,,455,0,0,,,,,0,,,63,0
272520,note_on,,,,,25,0,0,,,,,0,,,62,112
272520,note_on,,,,,0,0,0,,,,,0,,,74,112
272760,note_on,,,,,402,0,1,,,,,0,,,53,112
272760,note_on,,,,,0,0,1,,,,,0,,,68,112
272760,note_on,,,,,0,0,1,,,,,0,,,59,112
272838,note_on,,,,,0,0,1,,,,,0,,,68,0
272838,note_on,,,,,78,0,1,,,,,0,,,53,0
272838,note_on,,,,,0,0,1,,,,,0,,,59,0
272975,note_on,,,,,455,0,0,,,,,0,,,62,0
272975,note_on,,,,,0,0,0,,,,,0,,,74,0
273000,note_on,,,,,0,0,0,,,,,0,,,73,112
273000,note_on,,,,,25,0,0,,,,,0,,,61,112
273227,note_on,,,,,0,0,0,,,,,0,,,73,0
273227,note_on,,,,,227,0,0,,,,,0,,,61,0
273240,note_on,,,,,402,0,1,,,,,0,,,37,112
273240,note_on,,,,,0,0,1,,,,,0,,,49,112
273241,control_change,,,,,1,0,1,,,64,0,0,,,,
273242,control_change,,,,,1,0,1,,,64,127,0,,,,
273467,note_on,,,,,225,0,1,,,,,0,,,37,0
273467,note_on,,,,,0,0,1,,,,,0,,,49,0
273480,note_on,,,,,0,0,1,,,,,0,,,54,112
273480,note_on,,,,,0,0,1,,,,,0,,,58,112
273480,note_on,,,,,0,0,0,,,,,0,,,92,127
273480,note_on,,,,,253,0,0,,,,,0,,,80,127
273480,note_on,,,,,13,0,1,,,,,0,,,49,112
273707,note_on,,,,,0,0,1,,,,,0,,,54,0
273707,note_on,,,,,0,0,1,,,,,0,,,58,0
273707,note_on,,,,,227,0,1,,,,,0,,,49,0
273720,note_on,,,,,0,0,1,,,,,0,,,61,112
273720,note_on,,,,,0,0,1,,,,,0,,,58,112
273720,note_on,,,,,13,0,1,,,,,0,,,54,112
273720,note_on,,,,,240,0,0,,,,,0,,,82,112
273720,note_on,,,,,0,0,0,,,,,0,,,85,112
273947,note_on,,,,,227,0,1,,,,,0,,,54,0
273947,note_on,,,,,0,0,1,,,,,0,,,61,0
273947,note_on,,,,,0,0,1,,,,,0,,,58,0
273959,note_on,,,,,239,0,0,,,,,0,,,80,0
273959,note_on,,,,,0,0,0,,,,,0,,,85,0
273959,note_on,,,,,0,0,0,,,,,0,,,82,0
273959,note_on,,,,,0,0,0,,,,,0,,,92,0
273960,note_on,,,,,13,0,1,,,,,0,,,58,112
273960,note_on,,,,,0,0,1,,,,,0,,,66,112
273960,note_on,,,,,0,0,1,,,,,0,,,61,112
273960,note_on,,,,,1,0,0,,,,,0,,,78,112
273960,note_on,,,,,0,0,0,,,,,0,,,90,112
274187,note_on,,,,,0,0,1,,,,,0,,,61,0
274187,note_on,,,,,227,0,1,,,,,0,,,58,0
274187,note_on,,,,,0,0,1,,,,,0,,,66,0
274199,note_on,,,,,0,0,0,,,,,0,,,90,0
274199,note_on,,,,,239,0,0,,,,,0,,,78,0
274200,note_on,,,,,0,0,0,,,,,0,,,85,112
274200,note_on,,,,,1,0,0,,,,,0,,,73,112
274439,note_on,,,,,0,0,0,,,,,0,,,85,0
274439,note_on,,,,,239,0,0,,,,,0,,,73,0
274440,note_on,,,,,0,0,0,,,,,0,,,82,112
274440,note_on,,,,,1,0,0,,,,,0,,,70,112
274667,note_on,,,,,227,0,0,,,,,0,,,70,0
274667,note_on,,,,,0,0,0,,,,,0,,,82,0
274680,note_on,,,,,0,0,1,,,,,0,,,38,112
274680,note_on,,,,,493,0,1,,,,,0,,,26,112
274681,control_change,,,,,1,0,1,,,64,0,0,,,,
274682,control_change,,,,,1,0,1,,,64,127,0,,,,
