file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,chord_density,duration_per_note,tempo_complexity,notes_per_second,hand_independence,odd_time_signature_count,consecutive_note_std,pitch_range,average_polyphony,tempo_change_count,max_polyphony,note_to_note_transition,note_to_chord_transition,chord_to_note_transition,chord_to_chord_transition
Arndt - Nola Novelty piano solo.csv,447617.0838436175,134.04314125991223,1049,302081,0.003472578546813603,38550.93155040355,38,1510405,198,0.18875119161105816,2.5158815019812566e-05,0.08612479939186583,0.6945157093627206,0.3298662704309064,5,308.5517759535971,45.0,1.5586924219910847,7,6,649.0,1581.1833333333332,1577.5666666666666,119.45000000000002
Bacewitz - Sonata No.4 for Piano  Violin Mov.1.csv,527180.28434238,113.81305747206716,3387,187772,0.018037833116758623,126802.55846729662,80,1418940,1754,0.5178624151166223,5.6380114733533484e-05,0.24052978124072644,2.386993107530974,0.4046242774566474,3,86.9416653551593,81.0,2.1753371868978806,192,9,1284.0,3066.111904761903,3484.511904761903,2776.1047619047613
Bacewitz - Sonata No.4 for Piano  Violin Mov.2.csv,861655.5345577573,69.63339477740935,902,94224,0.00957293258617762,392473.0087748689,70,563644,388,0.43015521064301554,0.0001241918657876248,0.4554871326583015,1.6003008991491083,0.2777777777777778,4,194.62323103107124,69.0,1.8559670781893005,58,8,1654.0,792.7107142857142,1278.2630952380955,1099.285714285714
Bacewitz - Sonata No.4 for Piano  Violin Mov.3.csv,441542.01753576373,135.8874073522123,3164,172412,0.018351390854464886,3849.098134008915,69,1031020,1497,0.47313527180783815,6.692401699288084e-05,0.008717399434578495,3.0688056487749997,0.4507552870090634,6,64.89439393429612,76.0,1.9117824773413896,37,8,2625.0,3686.166666666668,3717.283333333334,1795.549999999999
Bacewitz - Sonata No.4 for Piano  Violin Mov.4.csv,333486.99003058794,179.91706361467567,4203,258620,0.016251643337715567,45405.53431673209,71,1549036,1965,0.4675231977159172,4.583495799968497e-05,0.13615384010203044,2.7133004010236044,0.38393274170948155,12,94.31574502752208,73.0,1.9631013545072395,194,8,3264.0,5008.22380952381,4787.11785714286,2890.551190476191
Bach - 003706b_.csv,652173.0,92.00012880018032,304,73728,0.004123263888888889,0.0,25,368640,89,0.29276315789473684,6.781684027777778e-05,0.0,0.8246527777777778,0.7843137254901961,0,372.3506812003924,31.0,2.980392156862745,1,4,9.0,67.08333333333334,76.75,133.16666666666663
Bach - 003806b_.csv,625000.0,96.0,253,73729,0.003431485575553717,0.0,27,368645,64,0.25296442687747034,7.324119410272756e-05,0.0,0.6862971151107434,0.8205128205128205,0,527.2969416091539,36.0,3.2435897435897436,1,4,0.0,76.41666666666666,69.16666666666666,140.83333333333334
Bach - 003907bv.csv,625000.0,96.0,285,69633,0.004092886993235966,0.0,26,348165,76,0.26666666666666666,7.46772363678141e-05,0.0,0.8185773986471931,0.7634408602150538,0,410.76063105352586,36.0,3.064516129032258,1,4,6.0,138.5,131.5,130.5
Bach - 003907b_.csv,625000.0,96.0,285,69633,0.004092886993235966,0.0,26,348165,76,0.26666666666666666,7.46772363678141e-05,0.0,0.8185773986471931,0.7634408602150538,0,410.76063105352586,36.0,3.064516129032258,1,4,6.0,138.5,131.5,130.5
Bach - 004003b_.csv,625000.0,96.0,204,49152,0.004150390625,0.0,27,245760,79,0.3872549019607843,0.00010986328125,0.0,0.830078125,0.7058823529411765,0,337.1035127748199,32.0,3.0,1,4,0.0,134.75,137.83333333333331,40.08333333333333
Bach - 004006b_.csv,625000.0,96.0,250,65537,0.0038146390588522515,0.0,31,327685,73,0.292,9.460304865953583e-05,0.0,0.7629278117704503,0.7439024390243902,0,451.96285532508114,34.0,3.048780487804878,1,4,4.0,113.5,116.75,76.33333333333334
Bach - 004008b_.csv,750000.0,80.0,358,83968,0.0042635289634146345,0.0,31,419840,102,0.2849162011173184,7.383765243902439e-05,0.0,0.8527057926829269,0.7016129032258065,0,366.1571611055815,36.0,2.8870967741935485,1,4,0.0,422.0833333333333,398.75,149.91666666666666
Bach - 004106bs.csv,600000.0,100.0,541,150528,0.003594015731292517,0.0,31,752640,162,0.29944547134935307,4.118835034013605e-05,0.0,0.7188031462585034,0.7747252747252747,1,466.12216807618904,41.0,2.9725274725274726,1,5,4.0,331.0,322.75,268.66666666666663
Bach - 004106b_.csv,600000.0,100.0,927,172033,0.005388501043404463,0.0,33,1548297,292,0.3149946062567422,2.1313740193257494e-05,0.0,0.5987223381560515,0.8464285714285714,1,332.76534037736695,45.0,3.3107142857142855,1,9,6.0,306.29999999999995,300.26666666666665,669.1333333333332
Bach - 004207b_.csv,625000.0,96.0,599,114689,0.0052228199740166886,0.0,29,688134,181,0.3021702838063439,4.214295471521535e-05,0.0,0.870469995669448,0.8520710059171598,0,356.0794707369253,38.0,3.544378698224852,1,5,3.0,159.28333333333336,168.4666666666667,613.5833333333335
Bach - 004311b_.csv,535714.0,112.00005973336519,261,92161,0.002832000520827682,0.0,26,460805,71,0.2720306513409962,5.6422998882390596e-05,0.0,0.5664001041655364,0.9852941176470589,1,668.5161677831483,36.0,3.838235294117647,1,4,0.0,3.75,5.0,79.25
Bach - 004407b_.csv,576923.0,104.00001386666851,208,53248,0.00390625,0.0,23,266240,61,0.2932692307692308,8.638822115384616e-05,0.0,0.78125,0.859375,0,411.8833593302433,31.0,3.25,1,4,0.0,60.0,60.0,122.83333333333331
Bach - 004507b_.csv,625000.0,96.0,297,68609,0.004328878135521579,0.0,25,411654,85,0.28619528619528617,6.0730613573535055e-05,0.0,0.7214796892535965,0.7721518987341772,0,481.79137402056404,38.0,3.759493670886076,1,5,1.0,66.19999999999999,57.18333333333334,151.2833333333333
Bach - 004606bs.csv,566037.0,106.00013780017915,239,77825,0.0030709926116286542,0.0,28,389125,92,0.38493723849372385,7.195631223899775e-05,0.0,0.6141985223257308,0.8428571428571429,0,609.613484166817,33.0,3.414285714285714,1,4,3.0,64.0,62.5,76.0
Bach - 004606b_.csv,681818.0,88.00002346667293,851,90112,0.009443803267045454,0.0,44,811008,284,0.3337250293772033,5.425347222222222e-05,0.0,1.0493114741161615,0.33796296296296297,0,193.389318786024,51.0,3.939814814814815,1,10,15.0,279.57777777777784,435.25277777777785,470.3805555555554
Bach - 004705b_.csv,625000.0,96.0,186,45056,0.004128196022727273,0.0,29,225280,60,0.3225806451612903,0.00012872869318181817,0.0,0.8256392045454546,0.8620689655172413,0,390.6458203946055,31.0,3.206896551724138,1,4,0.0,43.75,43.25,88.0
Bach - 004803b_.csv,625000.0,96.0,157,45056,0.003484552556818182,0.0,29,225280,42,0.267515923566879,0.00012872869318181817,0.0,0.6969105113636364,0.7454545454545455,0,386.87952613434516,33.0,2.8545454545454545,1,4,6.0,51.58333333333333,56.166666666666664,60.666666666666664
Bach - 004807b_.csv,625000.0,96.0,280,65537,0.004272395745914522,0.0,26,327685,77,0.275,7.934449242412683e-05,0.0,0.8544791491829044,0.7849462365591398,0,328.47121001508236,33.0,3.010752688172043,1,4,0.0,110.25,121.08333333333334,100.74999999999997
Bach - 005206b_.csv,600000.0,100.0,323,60417,0.005346177400400549,0.0,24,422919,107,0.33126934984520123,5.674845537798018e-05,0.0,0.76373962862865,0.8472222222222222,0,447.85411440784145,33.0,4.486111111111111,1,7,1.0,53.166666666666664,48.666666666666664,165.1380952380952
Bach - 005505b_.csv,625000.0,96.0,278,67584,0.004113399621212121,0.0,23,337920,87,0.3129496402877698,6.806344696969697e-05,0.0,0.8226799242424242,0.7127659574468085,0,388.2260004242772,33.0,2.9574468085106385,1,4,0.0,183.75,176.33333333333331,83.41666666666666
Bach - 005605b_.csv,625000.0,96.0,353,90112,0.003917347301136364,0.0,32,540672,115,0.32577903682719545,5.918560606060606e-05,0.0,0.6528912168560606,0.7526881720430108,0,573.1816282551098,39.0,3.795698924731183,1,5,12.0,87.19999999999997,91.59999999999997,124.80000000000001
Bach - 005708b_.csv,625000.0,96.0,213,56832,0.0037478885135135134,0.0,23,284160,65,0.3051643192488263,8.094031531531532e-05,0.0,0.7495777027027026,0.7246376811594203,1,463.6089216435423,33.0,3.0869565217391304,1,4,6.0,127.75,126.25,79.0
Bach - 005903b_.csv,576923.0,104.00001386666851,745,118784,0.006271888469827586,0.0,31,950272,244,0.3275167785234899,3.2622238685344825e-05,0.0,0.7839860587284483,0.8782051282051282,0,407.4857545766796,34.0,4.7756410256410255,1,8,0.0,153.97857142857143,163.38095238095238,383.8214285714287
Bach - 006005b_.csv,681818.0,88.00002346667293,282,81920,0.0034423828125,0.0,29,409600,99,0.35106382978723405,7.080078125e-05,0.0,0.6884765625,0.782608695652174,0,600.2913564752298,31.0,3.0652173913043477,1,4,4.0,111.08333333333334,105.75,138.66666666666669
Bach - 006106b_.csv,845070.0,71.00003550001774,551,57344,0.009608677455357142,0.0,36,401408,134,0.24319419237749546,8.96843112244898e-05,0.0,1.3726682079081631,0.6926829268292682,0,137.4096073018097,48.0,2.6878048780487807,1,6,23.0,646.0666666666667,587.2,388.61666666666656
Bach - 006206bv.csv,625000.0,96.0,188,32768,0.0057373046875,0.0,32,196608,52,0.2765957446808511,0.00016276041666666666,0.0,0.9562174479166666,0.8113207547169812,0,331.02435946575713,38.0,3.547169811320755,1,5,0.0,60.86666666666667,56.650000000000006,176.14999999999998
Bach - 006206b_.csv,625000.0,96.0,188,32768,0.0057373046875,0.0,32,196608,52,0.2765957446808511,0.00016276041666666666,0.0,0.9562174479166666,0.8113207547169812,0,331.02435946575713,38.0,3.547169811320755,1,5,0.0,60.866666666666674,56.650000000000006,176.14999999999998
Bach - 006402b_.csv,625000.0,96.0,173,45056,0.003839666193181818,0.0,25,225280,55,0.3179190751445087,0.00011097301136363636,0.0,0.7679332386363636,0.7627118644067796,0,368.6015459642058,33.0,2.9322033898305087,1,4,0.0,94.33333333333334,96.16666666666666,75.75000000000003
Bach - 006404b_.csv,600000.0,100.0,368,69632,0.005284926470588236,0.0,28,417792,107,0.2907608695652174,6.701899509803922e-05,0.0,0.8808210784313726,0.6776859504132231,0,247.3834056605798,39.0,3.041322314049587,1,5,47.0,140.8,151.80000000000004,405.73333333333323
Bach - 006408b_.csv,625000.0,96.0,272,77824,0.0034950657894736842,0.0,33,389120,87,0.31985294117647056,8.480674342105264e-05,0.0,0.6990131578947368,0.7640449438202247,0,539.2305047398924,39.0,3.056179775280899,1,4,6.0,152.25,144.83333333333331,120.33333333333331
Bach - 006502b_.csv,625000.0,96.0,147,51200,0.00287109375,0.0,24,256000,43,0.2925170068027211,9.375e-05,0.0,0.57421875,0.9302325581395349,1,547.8678800423056,29.0,3.4186046511627906,1,4,0.0,28.0,24.0,89.25
Bach - 006507b_.csv,625000.0,96.0,332,81920,0.004052734375,0.0,27,409600,112,0.3373493975903614,6.591796875e-05,0.0,0.810546875,0.7310924369747899,0,387.4999581882539,31.0,2.7899159663865545,1,4,22.0,205.83333333333334,240.5,173.74999999999997
Bach - 006606b_.csv,625000.0,96.0,163,40960,0.0039794921875,0.0,24,204800,47,0.2883435582822086,0.0001171875,0.0,0.7958984375,0.8431372549019608,0,373.6645545064886,34.0,3.196078431372549,1,4,0.0,30.0,38.75,76.58333333333333
Bach - 006704b_.csv,500000.0,120.0,173,58369,0.0029639020713049737,0.0,28,291845,60,0.3468208092485549,9.594133872432284e-05,0.0,0.5927804142609947,0.94,1,518.125737524938,36.0,3.46,1,4,0.0,20.0,21.25,110.91666666666666
Bach - 006707b_.csv,681818.0,88.00002346667293,190,57345,0.003313279274566222,0.0,22,286725,60,0.3157894736842105,7.672857267416514e-05,0.0,0.6626558549132443,0.8518518518518519,0,497.0553352537085,34.0,3.5185185185185186,1,4,0.0,63.75,66.5,40.0
Bach - 006906ba.csv,625000.0,96.0,305,61441,0.004964111912241012,0.0,24,368646,77,0.25245901639344265,6.510310704578377e-05,0.0,0.827351985373502,0.8974358974358975,0,343.26775118151704,38.0,3.91025641025641,1,5,0.0,65.6,65.2,164.16666666666663
Bach - 006906bav.csv,625000.0,96.0,245,61441,0.003987565306554255,0.0,23,307205,68,0.27755102040816326,7.486857310265133e-05,0.0,0.7975130613108511,0.7108433734939759,0,356.64968267842966,33.0,2.9518072289156625,1,4,7.0,128.0,146.75,82.75
Bach - 006906b_.csv,625000.0,96.0,619,98304,0.006296793619791667,0.0,33,884736,216,0.34894991922455576,3.729926215277778e-05,0.0,0.6996437355324074,0.8591549295774648,0,354.4672307729271,44.0,4.359154929577465,1,8,0.0,141.07142857142858,137.925,315.7202380952381
Bach - 007007b_.csv,405405.0,148.000148000148,276,104450,0.0026424126376256582,0.0,25,522250,94,0.34057971014492755,4.786979415988511e-05,0.0,0.5284825275251317,0.8470588235294118,1,654.277646370519,33.0,3.2470588235294118,1,4,0.0,106.0,114.25,140.91666666666666
Bach - 007011b_.csv,681818.0,88.00002346667293,388,53248,0.007286658653846154,0.0,36,425984,132,0.3402061855670103,8.451021634615384e-05,0.0,0.9108323317307693,0.7789473684210526,0,296.74244004746214,48.0,4.08421052631579,1,7,0.0,250.63333333333335,230.36904761904765,222.31190476190488
Bach - 007011ch.csv,681818.0,88.00002346667293,221,53248,0.004150390625,0.0,27,266240,53,0.2398190045248869,0.00010141225961538462,0.0,0.830078125,0.6235294117647059,0,382.9980008553499,38.0,2.6,1,4,6.0,242.41666666666666,236.83333333333334,77.41666666666669
Bach - 007206b_.csv,625000.0,96.0,409,81920,0.00499267578125,0.0,31,491520,115,0.28117359413202936,6.306966145833334e-05,0.0,0.8321126302083334,0.8623853211009175,0,368.8723936539833,36.0,3.7522935779816513,1,5,0.0,68.19999999999999,40.93333333333333,319.6
Bach - 007305bv.csv,576923.0,104.00001386666851,233,69632,0.0033461626838235292,0.0,28,348160,72,0.3090128755364807,8.042279411764706e-05,0.0,0.6692325367647058,0.7671232876712328,0,498.916273514214,36.0,3.191780821917808,1,4,2.0,66.33333333333333,62.33333333333333,67.25
Bach - 007305b_.csv,576923.0,104.00001386666851,233,69632,0.0033461626838235292,0.0,28,348160,72,0.3090128755364807,8.042279411764706e-05,0.0,0.6692325367647058,0.7671232876712328,0,498.916273514214,36.0,3.191780821917808,1,4,2.0,66.33333333333334,62.33333333333334,67.25
Bach - 007408b_.csv,625000.0,96.0,257,57345,0.0044816461766501005,0.0,26,286725,72,0.2801556420233463,9.067922225128608e-05,0.0,0.89632923533002,0.8235294117647058,0,304.1469201218514,33.0,3.023529411764706,1,4,1.0,102.75,106.75,145.25
Bach - 007507b_.csv,789473.0,76.00006586672374,1256,131073,0.009582446422985665,0.0,35,1179657,341,0.2714968152866242,2.9669641260129002e-05,0.0,1.0647162692206296,0.55,0,152.25985280228596,48.0,2.8545454545454545,1,8,75.0,1644.3654761904763,1648.0678571428575,333.7404761904761
Bach - 007514b_.csv,789473.0,76.00006586672374,1256,131073,0.009582446422985665,0.0,35,1179657,341,0.2714968152866242,2.9669641260129002e-05,0.0,1.0647162692206296,0.55,0,152.25985280228596,48.0,2.8545454545454545,1,8,75.0,1644.3654761904763,1648.0678571428575,333.7404761904761
Bach - 007607b_.csv,833333.0,72.00002880001152,1393,139265,0.010002513194269917,0.0,44,1253385,384,0.2756640344580043,3.510493583376217e-05,0.0,1.1113903549188797,0.631578947368421,0,167.67625613494386,47.0,3.491228070175439,1,9,2.0,1178.5353174603174,1428.2690476190471,511.0242063492061
Bach - 007614b_.csv,833333.0,72.00002880001152,1393,139265,0.010002513194269917,0.0,44,1253385,384,0.2756640344580043,3.510493583376217e-05,0.0,1.1113903549188797,0.631578947368421,0,167.67625613494386,47.0,3.491228070175439,1,9,2.0,1178.5353174603174,1428.2690476190471,511.0242063492061
Bach - 007706b_.csv,625000.0,96.0,255,73729,0.0034586119437399125,0.0,25,368645,75,0.29411764705882354,6.781592046548848e-05,0.0,0.6917223887479825,0.6777777777777778,0,537.9608582723705,33.0,2.8333333333333335,1,4,7.0,140.83333333333334,180.74999999999997,54.08333333333333
